Unnamed: 0,battery_id,formula_charge,id_charge,stability_charge,formula_discharge,id_discharge,stability_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,working_ion
0,mp-504791_Li,P(WO4)2,mp-28000,0.0,LiP(WO4)2,mp-757610,0.037837430416674415,2.3251851700000024,50.228608603865865,269.2627711236853,116.7908158354434,626.0858022498977,0.02856446304033855,Li
1,mp-763480_Li,P3W2O13,mp-757302,9.68407870356458e-05,LiP3W2O13,mp-758455,0.03996589359648972,3.291747695000003,39.6744828157443,154.215697534469,130.59838735904353,507.639166891906,0.017561975873751745,Li
2,mp-1176966_Li,P8W3O29,mp-776468,0.06132081437499881,Li2P8W3O29,mp-776995,0.02505051265872193,5.0625793624999815,41.969953586129705,142.11172535883918,212.47622087022225,719.4518879709242,0.061033505798458336,Li
3,mp-1176966_Li,Li2P8W3O29,mp-776995,0.02505051265872193,Li6P8W3O29,mp-1176966,0.02937480677536186,3.5953440900000024,82.15399371143994,291.9213768669448,295.37187576032295,1049.5577970632337,0.02708406406941033,Li
4,mp-1176966_Li,Li6P8W3O29,mp-1176966,0.02937480677536186,Li9P8W3O29,mp-776590,0.02560632556972476,2.660168511666669,60.64773504268521,217.2362317740448,161.3331950644544,577.8849833584363,0.007847682047518845,Li
5,mvc-5592_Li,P2WO7,mvc-5592,0.1112487600000005,LiP2WO7,mp-753180,0.04902817170454821,3.2011691699999907,73.48421696231495,329.72694581157884,235.23540982135304,1055.5117334502838,0.02109634441882635,Li
6,mp-763566_Li,P2WO7,mp-755995,0.0,LiP2WO7,mp-752528,0.0172438548863667,2.4383090549999955,73.48421696231495,306.0814056860658,179.17723161879684,746.3210630514614,0.02534946745970124,Li
7,mp-761353_Li,P4WO13,mp-752714,0.05266081499999853,LiP4WO13,mp-757168,0.004088351885945585,5.2324398250000055,51.27818928891518,154.95419553662242,268.3100397892084,810.7885037766612,0.02036029139225404,Li
8,mp-761353_Li,LiP4WO13,mp-757168,0.004088351885945585,Li2P4WO13,mp-757625,0.04989646008333271,3.4143151999999803,50.60614303368369,162.04604911681963,172.78532337327934,553.2762885995006,0.04576741891781233,Li
9,mp-763403_Li,P4WO13,mp-766131,0.04785751249999848,LiP4WO13,mp-758454,0.0007057171491045011,5.210250439999988,51.27818928891518,174.70726103038032,267.1722083049729,910.2685836547316,0.015961667460582474,Li
10,mp-761345_Li,P4WO12,mp-757191,0.017240096176470487,LiP4WO12,mp-758364,0.03484016597222439,3.074790860000012,52.89743283417665,161.49367380486066,162.64854299599088,496.559272163009,0.031561989952653365,Li
11,mp-763392_Li,P4WO12,mp-766395,0.028410774411764095,LiP4WO12,mp-757995,0.03154958958333598,3.323922764999997,52.89743283417665,160.09735246944663,175.82698120757806,532.1512344894221,0.012778052870826562,Li
12,mp-763466_Li,P4WO12,mp-766081,0.02450638735294053,LiP4WO12,mp-757580,0.02425564513889089,3.388839185,52.89743283417665,184.48499737538242,179.26089317436342,625.1899881503182,0.0278697964487662,Li
13,mp-1176594_Li,P4WO12,mp-766151,0.025829942941176576,LiP4WO12,mp-1176594,0.0112041104166698,3.646267255000003,52.89743283417665,188.72348483568558,192.8781772168203,688.1362630058501,0.023643399144105404,Li
14,mp-763463_Li,P4WO12,mp-767776,0.015392433823530284,LiP4WO12,mp-758368,0.00819746152777956,3.5229492800000117,52.89743283417665,196.16399023357948,186.3549729170116,691.075788155318,0.007386651173850067,Li
15,mp-767180_Li,Li2MnOF3,mp-753588,0.08642791482142265,Li3MnOF3,mp-755504,0.09776381749999884,2.9889950150000053,180.1711768760531,567.1067801057603,538.5307495292069,1695.0793387088215,0.03598767947617598,Li
16,mp-763875_Li,LiMn3OF8,mp-759751,0.0809801644551289,Li4Mn3OF8,mp-759970,0.08964098234375051,3.655577203333332,222.99584666829742,726.0351229398954,815.1785335186432,2654.077444238394,0.09308954528957414,Li
17,mp-767187_Li,Mn5OF11,mp-754178,0.0650658936519628,Li3Mn5OF11,mp-754023,0.05948704449999909,3.8262685100000007,154.47686292710173,543.9613805812958,591.069956141556,2081.342301174338,0.041530446298942536,Li
18,mp-763854_Li,Mn3OF6,mp-759176,0.0943936260416658,Li2Mn3OF6,mp-761162,0.08044233083333374,3.6714482399999935,173.64885568382405,585.4690308971701,637.5427855783887,2149.519243061917,0.05817959821387043,Li
19,mp-765945_Li,Mn4OF8,mp-754014,0.07174601887820309,Li2Mn4OF8,mp-761138,0.06943598400000095,3.627713337499996,133.46659825658023,476.0514050389247,484.17855860614975,1726.9780313953195,0.03626902805540922,Li
20,mp-767172_Li,Mn2OF3,mp-754070,0.04593942562499986,LiMn2OF3,mp-756757,0.05843311607142888,3.0327148924999934,141.20036548184228,495.54383354596536,428.22045122322515,1502.8431638813868,0.0930310263577434,Li
21,mp-765441_Li,Mn5O3F5,mp-754132,0.09641979307692594,LiMn5O3F5,mp-759115,0.07958742928571105,2.799764639999997,63.118530456519395,235.5748027144222,176.7170297009259,659.5540027148146,0.01875432774010944,Li
22,mp-764671_Li,Mn7O7F,mp-753904,0.06161229333332941,LiMn7O7F,mp-764671,0.0838986018749992,2.2423381100000253,51.294552116479686,197.12457500374455,115.01972904616484,442.0199469484549,0.06525138478909698,Li
23,mp-765267_Li,Li9Fe4(BO3)8,mp-759456,0.072953286622222,Li3Fe(BO3)2,mp-752646,0.013229034583333464,4.4685408399999975,103.46123566645552,266.6512188398167,462.3207569324208,1191.5418614214975,0.04404326813962189,Li
