,battery_id,formula_charge,id_charge,stability_charge,formula_discharge,id_discharge,stability_discharge,average_voltage,max_delta_volume,working_ion
2372,mp-765030_Li,Mn3Cr5O16,mp-773259,0.07701827468750011,Li10Mn3Cr5O16,mp-765030,0.07772850019607791,2.9139588419999987,0.10946389706354798,Li
2373,mp-1101152_Li,Li2Mn3Cr3O12,mp-850956,0.0735651183749848,Li4Mn3Cr3O12,mp-780214,0.041626172386348685,3.6202532499999953,0.006249135854762722,Li
2374,mp-1101152_Li,Li2Mn3Cr3O12,mp-850956,0.0735651183749848,Li2MnCrO4,mp-1101152,0.01824468875000029,3.232872709999994,0.015109775529535296,Li
2375,mp-770856_Li,LiMn2Cr2O8,mp-780849,0.08016843769230952,Li3Mn2Cr2O8,mp-851001,0.056400888833323386,3.440578141250005,0.03725456555854945,Li
2376,mp-770856_Li,LiMn2Cr2O8,mp-780849,0.08016843769230952,Li2MnCrO4,mp-770856,0.0139328703124999,3.361119824166669,0.03725456555854945,Li
2377,mp-1176640_Li,LiMn2Cr2O8,mp-780798,0.09874503865384733,LiMnCrO4,mp-1176640,0.0,5.279850619999996,0.023751094183879884,Li
2378,mp-1176640_Li,LiMn2Cr2O8,mp-780798,0.09874503865384733,Li2MnCrO4,mp-773293,0.007243257499999878,3.4772963633333327,0.028963125379805943,Li
2379,mp-763907_Li,Li4Mn3Cr2O10,mp-781676,0.07240203263157774,Li5Mn3Cr2O10,mp-763907,0.025089491499999284,3.3981150600000136,0.008666843194862217,Li
2380,mp-769505_Li,Mn5Cr3O16,mp-771053,0.0953047194791683,Li7Mn10Cr6O32,mp-769505,0.007660077631827633,4.549336031428573,0.030534298814547167,Li
2381,mp-771553_Li,Mn5Cr3O16,mp-771553,0.05352078739583455,Li4Mn5Cr3O16,mp-772402,0.0492191779286868,3.89084349,0.08914781692095808,Li
2382,mp-775006_Li,Mn2CrO6,mp-775006,0.07439591944444146,Li3Mn2CrO6,mp-775697,0.029860189999999957,3.381261496666668,0.08317988530232913,Li
2383,mp-767158_Li,Mn2CrO6,mp-767158,0.07362816055555399,Li2Mn2CrO6,mp-775059,0.09711754166665454,3.417327025000004,0.09478254855256174,Li
2384,mp-771509_Li,Mn5Cr2O12,mp-771632,0.0997582426644712,Li4Mn5Cr2O12,mp-850972,0.051671215217395705,3.3559078700000007,0.07535070467590567,Li
2385,mp-771509_Li,Mn5Cr2O12,mp-771632,0.0997582426644712,Li5Mn5Cr2O12,mp-771509,0.03113702000000185,3.2112072820000024,0.07535070467590567,Li
2386,mp-761312_Li,Mn3CrO8,mp-773120,0.04330127104166692,Li2Mn3CrO8,mp-761312,0.052621976571542106,3.723794695,0.1046565321022226,Li
2387,mp-761312_Li,Mn3CrO8,mp-773120,0.04330127104166692,Li3Mn3CrO8,mp-764036,0.08594359577777766,3.2382944416666675,0.1046565321022226,Li
2388,mp-1177394_Li,Mn3CrO8,mp-773365,0.05751013687500084,LiMn3CrO8,mp-780544,0.054783066923070216,3.9741068900000074,0.061243068945997285,Li
2389,mp-1177394_Li,Mn3CrO8,mp-773365,0.05751013687500084,Li2Mn3CrO8,mp-780542,0.07777908871439898,3.6329481050000023,0.061243068945997285,Li
2390,mp-1177394_Li,Mn3CrO8,mp-773365,0.05751013687500084,Li4Mn3CrO8,mp-1177394,0.008639479375000647,3.396711637500003,0.061243068945997285,Li
2393,mp-763540_Li,LiNi(CO3)2,mp-763540,0.02359115935416689,Li2Ni(CO3)2,mp-767311,0.0,4.330855809999994,0.008348905096924097,Li
2394,mp-763387_Li,Li3Ni2(CO3)4,mp-765316,0.04453117095236258,Li2Ni(CO3)2,mp-767744,0.01815652454545447,4.625143509999992,0.06201906912271383,Li
2395,mp-762424_Li,LiNi(CO3)2,mp-762424,0.0834995438541668,Li2Ni(CO3)2,mp-763873,0.02005117363636355,4.709376744999991,0.06805549668355071,Li
2406,mp-1176495_Li,Mn2Cr3Sb3O16,mp-1176495,0.10804350854166778,Li4Mn2Cr3Sb3O16,mp-767785,0.04453894491071697,3.6103863575000026,0.1264295351450544,Li
2407,mp-764395_Li,Mn3Cr2Sb3O16,mp-775041,0.09184668036458364,Li4Mn3Cr2Sb3O16,mp-764395,0.07123701398808535,3.365602790000002,0.1252359159837233,Li
2408,mp-776744_Li,Mn3Cr3(SbO8)2,mp-780598,0.06415463843749247,Li4Mn3Cr3(SbO8)2,mp-776744,0.005516213482143151,3.9422398725000014,0.08331977308661709,Li
2409,mp-771758_Li,Mn3Fe2Sb3O16,mp-771758,0.09650568494791667,Li4Mn3Fe2Sb3O16,mp-775443,0.05862542404761317,3.423127757499996,0.11896938185975657,Li
2410,mp-775013_Li,Mn3Fe3(SbO8)2,mp-775891,0.0832916045572949,Li4Mn3Fe3(SbO8)2,mp-775013,0.005359733928570698,4.0352941175,0.0803029488752276,Li
2413,mp-1101729_Li,NbFe7(PO4)12,mp-1101729,0.07661189212213326,Li8NbFe7(PO4)12,mp-776163,0.001718399599800691,5.0105009187499885,0.021737731749446487,Li
2414,mp-1177337_Li,NbFe5(PO4)6,mp-771596,0.015975813240727273,Li4NbFe5(PO4)6,mp-1177337,0.10118813049106644,2.182433085000018,0.055001932499694206,Li
